Volunteer_ID,Volunteer_Name,Age,Gender,District,Availability,Primary_Skill,Secondary_Skill,Languages_Known,Experience_Years,Past_NGO_Work,Emergency_Contact,Blood_Group,Training_Completed,Notes,NGO_ID,NGO_Name,Category,Address,Contact,Volunteers_Needed,Match_Status,Showed_Up,Volunteer_Hours,Satisfaction_Rating
101,Volunteer_1,24,Female,Kolhapur,Flexible,Logistics,Sports Coaching,"marathi, english",3,Helpage India,9359879480,A+,Yes,Skilled counselor,18,Helping Hands,Child Care,Solapur,9090840118,13,1,0,8,2
102,Volunteer_2,37,Male,Nagpur,Weekends,Teaching,Sports Coaching,"hindi, marathi, english",1,Red Cross,9911985010,A+,Yes,Good with kids,34,Hope Foundation,Education,Amravati,9745545469,4,1,1,8,2
103,Volunteer_3,46,Male,Kolhapur,Full-time,Medical Assistance,Driving,"marathi, hindi",4,Childline,9614442274,A+,Yes,Handles crowd well,32,Jeevan Jyot,Orphanage,Satara,9200623545,1,0,0,3,1
104,Volunteer_4,32,Male,Satara,Evenings,Counseling,Driving,"english, marathi",1,Red Cross,9078879051,O+,No,Skilled counselor,29,Hope Foundation,Education,Sangli,9870276780,1,1,0,1,4
105,Volunteer_5,28,Male,Pune,Full-time,Medical Assistance,Music Therapy,"marathi, hindi",4,Helpage India,9053833309,B+,Yes,Good with kids,25,Hope Foundation,Education,Nashik,9395029703,7,1,1,4,2
106,Volunteer_6,25,Male,Aurangabad,Evenings,Medical Assistance,Music Therapy,"english, marathi",0,Cry Foundation,9313096452,B+,No,Good with kids,26,Helping Hands,Animal Welfare,Solapur,9827949458,9,1,1,9,3
107,Volunteer_7,46,Female,Satara,Evenings,IT Support,Music Therapy,"hindi, marathi, english",2,Red Cross,9364775393,O-,No,Handles crowd well,39,Green Maharashtra,Environment,Aurangabad,9044511845,1,1,0,9,3
108,Volunteer_8,38,Male,Nashik,Full-time,IT Support,Sports Coaching,"hindi, marathi, english",5,Childline,9544743189,O+,Yes,Experienced nurse,8,Green Maharashtra,Education,Mumbai,9073276188,16,1,0,1,1
109,Volunteer_9,24,Female,Nashik,Evenings,Teaching,Photography,"marathi, hindi",0,Childline,9069713766,A+,No,Skilled counselor,19,Green Maharashtra,Healthcare,Solapur,9586137238,18,1,0,7,5
110,Volunteer_10,43,Female,Kolhapur,Evenings,Logistics,Social Media,"english, marathi",5,Cry Foundation,9013739212,A+,Yes,Handles crowd well,47,Jeevan Jyot,Child Care,Satara,9816663150,15,1,1,6,1
111,Volunteer_11,36,Male,Sangli,Weekends,Medical Assistance,Music Therapy,"hindi, marathi, english",4,Red Cross,9134615736,AB+,No,Handles crowd well,42,Helping Hands,Animal Welfare,Solapur,9617979807,6,1,0,7,1
112,Volunteer_12,40,Male,Mumbai,Flexible,Teaching,Photography,"marathi, english",2,Helpage India,9230611630,AB+,Yes,Experienced nurse,22,Seva Ashram,Education,Solapur,9197453577,2,1,1,7,4
113,Volunteer_13,28,Female,Sangli,Flexible,IT Support,Cooking,"marathi, english",2,Cry Foundation,9513029045,O-,Yes,Skilled counselor,29,Solapur Care Home,Elderly Care,Sangli,9207792730,9,0,1,8,4
114,Volunteer_14,28,Male,Amravati,Weekends,Counseling,First Aid,"english, marathi",4,Red Cross,9291293570,A+,Yes,Handles crowd well,33,Solapur Care Home,Healthcare,Mumbai,9471130288,4,0,1,8,5
115,Volunteer_15,41,Male,Sangli,Full-time,Fundraising,Music Therapy,"marathi, hindi",4,None,9525287291,O-,Yes,Experienced nurse,38,Seva Ashram,Orphanage,Nashik,9676860352,13,0,0,2,5
116,Volunteer_16,38,Female,Amravati,Weekdays,Teaching,Cooking,"hindi, marathi, english",1,Childline,9983321396,O+,No,Skilled counselor,45,Green Maharashtra,Child Care,Kolhapur,9474964710,11,0,0,4,5
117,Volunteer_17,21,Female,Amravati,Weekdays,Counseling,Social Media,"marathi, hindi",4,Helpage India,9792078803,B+,No,Great fundraiser,46,Solapur Care Home,Animal Welfare,Kolhapur,9363648540,13,1,1,4,5
118,Volunteer_18,25,Male,Aurangabad,Weekdays,Fundraising,First Aid,"marathi, english",3,Helpage India,9008029598,A+,No,Good with kids,35,Jeevan Jyot,Elderly Care,Aurangabad,9548607930,11,1,1,8,5
119,Volunteer_19,41,Female,Pune,Weekends,Event Management,First Aid,"hindi, marathi, english",4,Helpage India,9887058500,O+,No,Experienced nurse,43,Helping Hands,Animal Welfare,Amravati,9250792236,19,0,0,3,1
120,Volunteer_20,20,Male,Aurangabad,Weekends,Teaching,Social Media,"marathi, hindi",3,Childline,9880283095,A+,No,Good with kids,3,Solapur Care Home,Animal Welfare,Solapur,9802069186,8,0,1,3,1
121,Volunteer_21,39,Male,Amravati,Evenings,Teaching,Music Therapy,"hindi, english",4,Red Cross,9014927605,AB+,Yes,Great fundraiser,19,Jeevan Jyot,Elderly Care,Aurangabad,9133550386,7,0,0,2,3
122,Volunteer_22,38,Male,Satara,Weekdays,Event Management,Sports Coaching,"english, marathi",1,Cry Foundation,9500153504,O-,Yes,Handles crowd well,10,Helping Hands,Orphanage,Amravati,9043877102,16,1,0,1,3
123,Volunteer_23,19,Female,Nashik,Full-time,Event Management,Social Media,"english, marathi",3,Red Cross,9568957127,AB+,Yes,Handles crowd well,27,Jeevan Jyot,Elderly Care,Nashik,9907961188,3,1,1,8,2
124,Volunteer_24,41,Female,Amravati,Full-time,Teaching,Social Media,"hindi, english",0,Cry Foundation,9089688279,B+,Yes,Skilled counselor,15,Seva Ashram,Healthcare,Nashik,9124997598,17,1,0,9,1
125,Volunteer_25,29,Female,Aurangabad,Weekdays,Event Management,Social Media,"marathi, english",3,Helpage India,9201500593,AB+,Yes,Experienced nurse,11,Hope Foundation,Animal Welfare,Mumbai,9913796991,18,1,1,9,5
126,Volunteer_26,47,Female,Satara,Weekdays,Medical Assistance,First Aid,"hindi, marathi, english",1,Red Cross,9726991059,A+,No,Experienced nurse,47,Seva Ashram,Orphanage,Kolhapur,9542039306,15,0,1,8,2
127,Volunteer_27,23,Female,Aurangabad,Weekdays,Fundraising,Photography,"english, marathi",5,Helpage India,9198631931,AB+,Yes,Skilled counselor,26,Solapur Care Home,Animal Welfare,Kolhapur,9188113109,17,1,1,5,4
128,Volunteer_28,19,Male,Sangli,Weekends,Fundraising,Cooking,"hindi, english",3,None,9279238671,A+,Yes,Good with kids,24,Helping Hands,Elderly Care,Aurangabad,9912655953,11,0,1,1,1
129,Volunteer_29,49,Male,Nagpur,Weekends,Fundraising,Sports Coaching,"hindi, english",4,Helpage India,9384284145,B+,No,Handles crowd well,13,Jeevan Jyot,Orphanage,Sangli,9734262911,5,1,1,9,3
130,Volunteer_30,45,Male,Kolhapur,Weekends,Medical Assistance,Music Therapy,"marathi, english",4,Helpage India,9045849459,AB+,No,Handles crowd well,32,Solapur Care Home,Orphanage,Kolhapur,9126454242,16,1,0,6,1
131,Volunteer_31,38,Male,Mumbai,Flexible,Logistics,Music Therapy,"marathi, english",5,Cry Foundation,9721486155,O-,Yes,Experienced nurse,37,Solapur Care Home,Education,Sangli,9082971909,15,1,1,7,1
132,Volunteer_32,18,Female,Aurangabad,Full-time,Event Management,Cooking,"marathi, hindi",1,None,9201415372,O-,Yes,Experienced nurse,4,Hope Foundation,Education,Sangli,9991992898,10,1,1,8,1
133,Volunteer_33,29,Male,Mumbai,Full-time,Counseling,Photography,"english, marathi",2,Helpage India,9443604844,O-,No,Skilled counselor,13,Green Maharashtra,Education,Nashik,9008644157,14,1,0,5,1
134,Volunteer_34,43,Female,Solapur,Evenings,Event Management,Social Media,"marathi, hindi",4,Helpage India,9002695145,AB+,Yes,Great fundraiser,9,Solapur Care Home,Elderly Care,Mumbai,9533657732,2,0,0,6,4
135,Volunteer_35,39,Male,Aurangabad,Weekends,Teaching,Sports Coaching,"hindi, english",0,None,9455926310,AB+,Yes,Good with kids,49,Hope Foundation,Child Care,Aurangabad,9379278984,16,0,0,7,3
136,Volunteer_36,46,Female,Nagpur,Flexible,IT Support,Music Therapy,"hindi, marathi, english",1,None,9915232344,AB+,Yes,Great fundraiser,34,Helping Hands,Healthcare,Nagpur,9734486043,19,1,1,7,1
137,Volunteer_37,29,Female,Mumbai,Flexible,Fundraising,Cooking,"hindi, marathi, english",3,Red Cross,9426222509,A+,No,Great fundraiser,37,Helping Hands,Elderly Care,Aurangabad,9400949759,8,1,1,2,4
138,Volunteer_38,42,Male,Amravati,Full-time,Event Management,Driving,"marathi, english",3,Cry Foundation,9719599871,B+,Yes,Experienced nurse,48,Jeevan Jyot,Animal Welfare,Sangli,9755349714,15,0,1,1,2
139,Volunteer_39,34,Male,Aurangabad,Weekends,Counseling,Cooking,"hindi, marathi, english",0,None,9389643231,O-,Yes,Experienced nurse,7,Green Maharashtra,Education,Amravati,9723123163,10,1,1,8,1
140,Volunteer_40,44,Male,Pune,Evenings,Teaching,Music Therapy,"hindi, marathi, english",4,None,9062570237,A+,No,Experienced nurse,1,Hope Foundation,Orphanage,Amravati,9803902426,5,1,1,5,4
141,Volunteer_41,44,Male,Kolhapur,Weekends,Medical Assistance,Social Media,"hindi, marathi, english",1,Childline,9054526679,O-,No,Great fundraiser,12,Seva Ashram,Elderly Care,Mumbai,9980015820,16,1,1,2,5
142,Volunteer_42,48,Female,Nagpur,Weekdays,Logistics,Driving,"hindi, english",0,None,9339628911,A+,No,Good with kids,21,Helping Hands,Orphanage,Nashik,9100090108,12,1,1,3,2
143,Volunteer_43,27,Male,Mumbai,Weekends,Medical Assistance,Photography,"hindi, marathi, english",4,Cry Foundation,9535866158,AB+,Yes,Experienced nurse,11,Green Maharashtra,Animal Welfare,Nashik,9289361957,13,1,1,6,3
144,Volunteer_44,49,Male,Nagpur,Weekdays,Counseling,Sports Coaching,"hindi, marathi, english",1,Helpage India,9848268459,O-,No,Handles crowd well,44,Jeevan Jyot,Orphanage,Sangli,9963673130,9,1,1,6,1
145,Volunteer_45,45,Female,Satara,Weekdays,Teaching,Photography,"hindi, marathi, english",3,Helpage India,9553632392,AB+,Yes,Good with kids,44,Seva Ashram,Orphanage,Sangli,9913777268,17,1,1,8,1
146,Volunteer_46,45,Male,Kolhapur,Evenings,Fundraising,Photography,"marathi, hindi",1,Helpage India,9437621735,O-,No,Handles crowd well,44,Helping Hands,Environment,Satara,9434408852,12,1,1,5,4
147,Volunteer_47,33,Male,Amravati,Full-time,Event Management,Cooking,"hindi, english",5,Helpage India,9944879089,O+,Yes,Good with kids,14,Helping Hands,Child Care,Satara,9421209050,5,1,1,5,3
148,Volunteer_48,32,Male,Aurangabad,Weekends,Teaching,Sports Coaching,"marathi, english",2,Childline,9068377046,A+,No,Experienced nurse,34,Jeevan Jyot,Healthcare,Sangli,9477169341,12,1,1,7,5
149,Volunteer_49,47,Male,Aurangabad,Weekdays,Logistics,Sports Coaching,"marathi, hindi",1,None,9434503039,O+,Yes,Skilled counselor,34,Jeevan Jyot,Healthcare,Kolhapur,9414468141,1,0,1,5,2
150,Volunteer_50,47,Male,Aurangabad,Weekends,Medical Assistance,Music Therapy,"english, marathi",2,Helpage India,9499002033,A+,Yes,Experienced nurse,25,Anathalaya,Education,Aurangabad,9439006661,16,0,1,9,3
151,Volunteer_51,32,Female,Kolhapur,Full-time,Logistics,Music Therapy,"hindi, english",1,Red Cross,9528873036,B+,No,Great fundraiser,4,Solapur Care Home,Environment,Kolhapur,9410945189,12,1,1,6,1
152,Volunteer_52,47,Male,Pune,Full-time,Logistics,Sports Coaching,"hindi, english",2,Helpage India,9905505467,O-,No,Great fundraiser,26,Solapur Care Home,Elderly Care,Nashik,9230957360,9,1,1,7,4
153,Volunteer_53,36,Male,Solapur,Flexible,Counseling,Driving,"english, marathi",5,None,9455555578,B+,Yes,Good with kids,16,Seva Ashram,Elderly Care,Nagpur,9949081802,13,1,1,8,5
154,Volunteer_54,29,Male,Nashik,Full-time,Counseling,First Aid,"english, marathi",3,Helpage India,9656563167,B+,No,Great fundraiser,10,Solapur Care Home,Healthcare,Aurangabad,9935735278,17,0,0,5,4
155,Volunteer_55,40,Male,Sangli,Evenings,Event Management,Music Therapy,"english, marathi",4,Childline,9167134193,A+,Yes,Experienced nurse,45,Seva Ashram,Child Care,Kolhapur,9631525620,17,0,0,4,2
156,Volunteer_56,37,Male,Mumbai,Weekdays,Counseling,First Aid,"marathi, english",2,Cry Foundation,9845055502,O+,No,Handles crowd well,2,Green Maharashtra,Orphanage,Kolhapur,9342128336,4,1,1,8,3
157,Volunteer_57,49,Female,Pune,Flexible,Counseling,Cooking,"hindi, marathi, english",5,Cry Foundation,9415068144,AB+,No,Experienced nurse,35,Helping Hands,Animal Welfare,Pune,9651725559,14,0,1,9,4
158,Volunteer_58,42,Male,Amravati,Evenings,Teaching,Driving,"hindi, english",2,None,9597867326,A+,Yes,Good with kids,19,Anathalaya,Education,Aurangabad,9004668710,19,0,1,1,4
159,Volunteer_59,20,Female,Mumbai,Weekends,Fundraising,Sports Coaching,"hindi, marathi, english",3,Cry Foundation,9103783748,AB+,No,Great fundraiser,6,Anathalaya,Child Care,Nagpur,9337193798,7,1,0,3,1
160,Volunteer_60,22,Female,Aurangabad,Weekdays,Event Management,Driving,"hindi, marathi, english",2,Cry Foundation,9300891343,B+,No,Handles crowd well,19,Helping Hands,Healthcare,Mumbai,9647064958,3,0,0,4,4
161,Volunteer_61,36,Male,Nagpur,Full-time,Teaching,Music Therapy,"english, marathi",5,Red Cross,9917663912,AB+,Yes,Skilled counselor,8,Jeevan Jyot,Environment,Mumbai,9869521565,1,1,0,7,5
162,Volunteer_62,24,Male,Amravati,Weekdays,Fundraising,Photography,"marathi, english",5,None,9056479049,O+,Yes,Handles crowd well,14,Hope Foundation,Education,Kolhapur,9301669780,12,1,0,6,3
163,Volunteer_63,38,Male,Mumbai,Weekends,Logistics,Cooking,"marathi, hindi",0,None,9531193111,A+,No,Handles crowd well,10,Hope Foundation,Healthcare,Sangli,9106841088,15,0,1,1,2
164,Volunteer_64,26,Male,Aurangabad,Flexible,Teaching,Sports Coaching,"marathi, english",3,Cry Foundation,9224408529,O+,Yes,Experienced nurse,3,Solapur Care Home,Elderly Care,Nagpur,9498200792,11,1,0,4,4
165,Volunteer_65,24,Female,Mumbai,Flexible,IT Support,Social Media,"hindi, marathi, english",0,Cry Foundation,9544609584,O+,No,Skilled counselor,38,Jeevan Jyot,Education,Nagpur,9544754591,10,1,1,6,5
166,Volunteer_66,35,Male,Nagpur,Flexible,Teaching,Cooking,"marathi, english",3,Cry Foundation,9580276369,A+,No,Good with kids,29,Seva Ashram,Healthcare,Nashik,9340140538,2,1,1,3,2
167,Volunteer_67,21,Male,Aurangabad,Full-time,Counseling,First Aid,"english, marathi",2,Childline,9500774662,O+,Yes,Good with kids,15,Green Maharashtra,Elderly Care,Amravati,9626201336,4,1,1,2,5
168,Volunteer_68,42,Male,Solapur,Evenings,Fundraising,Driving,"marathi, hindi",5,Helpage India,9721056259,O-,Yes,Handles crowd well,23,Anathalaya,Animal Welfare,Pune,9643525511,17,1,1,2,4
169,Volunteer_69,45,Male,Pune,Evenings,Event Management,Sports Coaching,"english, marathi",0,Childline,9401902681,O-,Yes,Handles crowd well,23,Solapur Care Home,Elderly Care,Nashik,9105814596,17,1,1,4,4
170,Volunteer_70,31,Male,Satara,Weekdays,Event Management,Cooking,"marathi, hindi",2,None,9191164868,O-,Yes,Great fundraiser,18,Helping Hands,Orphanage,Nagpur,9146220061,8,1,0,1,3
171,Volunteer_71,35,Male,Sangli,Full-time,Fundraising,Driving,"hindi, marathi, english",5,Red Cross,9545935419,AB+,Yes,Skilled counselor,46,Jeevan Jyot,Environment,Solapur,9099134066,14,1,1,2,1
172,Volunteer_72,43,Female,Kolhapur,Flexible,Counseling,Sports Coaching,"marathi, hindi",3,Helpage India,9168090934,O+,Yes,Handles crowd well,19,Anathalaya,Orphanage,Sangli,9305252871,4,0,1,2,5
173,Volunteer_73,26,Female,Sangli,Flexible,Medical Assistance,Music Therapy,"marathi, hindi",5,Red Cross,9762536463,A+,No,Great fundraiser,28,Seva Ashram,Healthcare,Nagpur,9226010992,6,0,0,4,1
174,Volunteer_74,43,Male,Amravati,Weekends,Teaching,Cooking,"marathi, hindi",2,None,9864513250,A+,No,Skilled counselor,26,Seva Ashram,Animal Welfare,Pune,9196964626,19,0,0,4,1
175,Volunteer_75,38,Male,Sangli,Weekends,Counseling,Music Therapy,"marathi, english",0,None,9690889727,AB+,Yes,Good with kids,10,Hope Foundation,Child Care,Nagpur,9482382315,4,1,0,1,2
176,Volunteer_76,19,Male,Aurangabad,Flexible,IT Support,Cooking,"marathi, english",0,Red Cross,9502438361,A+,No,Great fundraiser,47,Solapur Care Home,Animal Welfare,Aurangabad,9378573626,3,0,0,7,2
177,Volunteer_77,37,Female,Solapur,Flexible,Logistics,Music Therapy,"hindi, marathi, english",5,Red Cross,9860487633,O-,No,Skilled counselor,4,Helping Hands,Animal Welfare,Aurangabad,9808883126,6,1,1,7,5
178,Volunteer_78,45,Male,Satara,Full-time,Fundraising,Driving,"marathi, hindi",2,Red Cross,9873027100,O+,No,Great fundraiser,2,Anathalaya,Animal Welfare,Satara,9003832733,7,1,1,1,1
179,Volunteer_79,32,Female,Pune,Evenings,Teaching,Social Media,"hindi, english",1,None,9038088342,A+,No,Handles crowd well,3,Green Maharashtra,Orphanage,Pune,9973818702,14,0,0,8,3
180,Volunteer_80,45,Male,Pune,Weekends,Event Management,Cooking,"hindi, marathi, english",3,Cry Foundation,9443136756,A+,Yes,Experienced nurse,7,Seva Ashram,Child Care,Kolhapur,9402856995,12,1,1,7,1
181,Volunteer_81,24,Male,Nagpur,Evenings,Logistics,Cooking,"marathi, hindi",3,Red Cross,9454392589,B+,No,Good with kids,16,Anathalaya,Elderly Care,Amravati,9622386486,16,1,1,7,2
182,Volunteer_82,29,Male,Kolhapur,Full-time,Medical Assistance,Music Therapy,"marathi, hindi",2,Helpage India,9349271118,B+,No,Handles crowd well,31,Helping Hands,Healthcare,Kolhapur,9893565995,8,0,0,6,1
183,Volunteer_83,46,Male,Mumbai,Flexible,IT Support,Sports Coaching,"marathi, english",1,None,9026370480,B+,Yes,Handles crowd well,10,Anathalaya,Environment,Amravati,9748180634,2,1,1,4,4
184,Volunteer_84,25,Female,Solapur,Evenings,Event Management,Cooking,"hindi, marathi, english",0,Childline,9339001120,O+,Yes,Skilled counselor,19,Solapur Care Home,Child Care,Amravati,9317187148,13,1,1,8,4
185,Volunteer_85,32,Female,Mumbai,Flexible,Fundraising,Music Therapy,"marathi, hindi",4,Childline,9277562520,O-,Yes,Great fundraiser,28,Hope Foundation,Healthcare,Amravati,9878177869,8,1,1,2,3
186,Volunteer_86,20,Male,Satara,Flexible,Teaching,Photography,"marathi, hindi",4,Helpage India,9823222036,O-,Yes,Good with kids,17,Anathalaya,Child Care,Mumbai,9586393188,16,0,1,7,5
187,Volunteer_87,31,Male,Sangli,Weekdays,Fundraising,Music Therapy,"hindi, marathi, english",2,Cry Foundation,9799564176,O-,No,Handles crowd well,28,Jeevan Jyot,Orphanage,Amravati,9784612789,4,1,1,3,1
188,Volunteer_88,34,Female,Pune,Evenings,Logistics,Driving,"hindi, english",1,Red Cross,9964410646,O+,Yes,Skilled counselor,19,Hope Foundation,Healthcare,Nagpur,9564979119,16,1,0,3,4
189,Volunteer_89,21,Female,Satara,Evenings,Teaching,Social Media,"hindi, marathi, english",1,None,9058058808,O+,No,Good with kids,37,Helping Hands,Orphanage,Solapur,9062246429,6,1,1,7,5
190,Volunteer_90,35,Female,Sangli,Flexible,Counseling,Photography,"hindi, marathi, english",3,Red Cross,9478833642,B+,No,Great fundraiser,23,Hope Foundation,Education,Pune,9141262886,4,0,1,3,4
191,Volunteer_91,25,Female,Pune,Full-time,Medical Assistance,Driving,"hindi, english",0,None,9860192720,A+,Yes,Handles crowd well,20,Anathalaya,Healthcare,Solapur,9643791086,16,1,0,5,5
192,Volunteer_92,21,Male,Sangli,Weekdays,Counseling,Driving,"hindi, marathi, english",5,Childline,9466979001,AB+,Yes,Handles crowd well,13,Anathalaya,Child Care,Satara,9039111692,13,1,1,8,5
193,Volunteer_93,19,Female,Kolhapur,Flexible,Counseling,Driving,"marathi, hindi",1,Red Cross,9153282957,AB+,Yes,Handles crowd well,13,Jeevan Jyot,Education,Nagpur,9386406521,5,1,1,4,4
194,Volunteer_94,47,Male,Solapur,Weekends,Fundraising,Sports Coaching,"hindi, marathi, english",5,Helpage India,9125702748,A+,Yes,Good with kids,43,Seva Ashram,Orphanage,Amravati,9056094863,15,1,0,7,2
195,Volunteer_95,23,Female,Amravati,Weekends,Logistics,Driving,"hindi, english",4,Cry Foundation,9619293459,B+,Yes,Good with kids,11,Jeevan Jyot,Orphanage,Mumbai,9272231083,8,1,1,7,5
196,Volunteer_96,39,Female,Satara,Weekdays,Medical Assistance,Sports Coaching,"english, marathi",5,Helpage India,9362477725,A+,Yes,Good with kids,48,Anathalaya,Child Care,Nashik,9705894854,7,1,0,2,1
197,Volunteer_97,27,Female,Satara,Full-time,Teaching,Driving,"hindi, marathi, english",0,Cry Foundation,9421779218,A+,No,Good with kids,15,Green Maharashtra,Education,Kolhapur,9488606063,14,1,1,8,4
198,Volunteer_98,21,Female,Nashik,Flexible,Teaching,First Aid,"marathi, english",0,Red Cross,9201268916,AB+,No,Skilled counselor,17,Hope Foundation,Animal Welfare,Aurangabad,9596037878,7,1,0,9,2
199,Volunteer_99,39,Female,Aurangabad,Evenings,IT Support,Photography,"marathi, hindi",5,Red Cross,9390698423,B+,No,Experienced nurse,28,Jeevan Jyot,Elderly Care,Pune,9501603226,7,0,1,6,4
200,Volunteer_100,46,Male,Kolhapur,Weekdays,Event Management,First Aid,"marathi, hindi",2,Cry Foundation,9953064012,O+,No,Skilled counselor,19,Jeevan Jyot,Environment,Solapur,9214879276,18,1,0,5,3
201,Volunteer_101,48,Male,Kolhapur,Full-time,IT Support,Driving,"marathi, english",1,Childline,9238225873,AB+,Yes,Handles crowd well,4,Green Maharashtra,Child Care,Nagpur,9800047868,10,1,0,1,1
202,Volunteer_102,35,Female,Mumbai,Evenings,IT Support,Photography,"marathi, english",2,None,9380582333,O+,Yes,Skilled counselor,22,Green Maharashtra,Orphanage,Nashik,9135948662,18,0,0,1,3
203,Volunteer_103,43,Female,Sangli,Weekends,Teaching,Photography,"hindi, marathi, english",5,Helpage India,9415688429,B+,No,Great fundraiser,22,Green Maharashtra,Healthcare,Sangli,9189883682,14,1,1,9,5
